Geo_Name,Geo_QName,Geo_SUMLEV,Geo_FIPS,Geo_state,Geo_county,SE_T001_001,SE_T002_001,SE_T003_002,SE_T003_001,SE_T003_003,SE_T004_001,SE_T004_002,SE_T004_003,SE_T009_001,SE_T009_002,SE_T009_003,SE_T009_004,SE_T011_001,SE_T011_002,SE_T011_003,SE_T011_004,SE_T011_005,SE_T011_006,SE_T011_007,SE_T011_008,SE_T011_009,SE_T011_010,SE_T011_011,SE_T011_012,SE_T011_013,SE_T011_014,SE_T011_015,SE_T011_016,SE_T011_017,SE_T023_001,SE_T023_002,SE_T023_003,SE_T023_004,SE_T023_005,SE_T023_006,SE_T023_007,SE_T023_008,SE_T023_009,SE_T023_010,SE_T023_011,SE_T027_001,SE_T027_002,SE_T027_003,SE_T027_004,SE_T027_005,SE_T027_006,SE_T027_007,SE_T031_001,SE_T031_002,SE_T031_003,SE_T043_001,SE_T043_002,SE_T043_003,SE_T043_004,SE_T043_005,SE_T043_006,SE_T043_007,SE_T043_008,SE_T043_009,SE_T043_010,SE_T043_011,SE_T043_012,SE_T043_013,SE_T047_001,SE_T047_002,SE_T047_003,SE_T047_004,SE_T047_005,SE_T047_006,SE_T047_007,SE_T047_008,SE_T050_001,SE_T051_001,SE_T051_002,SE_T051_003,SE_T051_004,SE_T051_005,SE_T056_001,SE_T056_002,SE_T056_003,SE_T064_001,SE_T064_002,SE_T064_003,SE_T064_004,SE_T064_005,SE_T064_006,SE_T064_007,SE_T064_008,SE_T064_009,SE_T064_010,SE_T064_011,SE_T064_012,SE_T064_013,SE_T064_014,SE_T064_015,SE_T064_016,SE_T064_017,SE_T064_018,SE_T064_019,SE_T064_020,SE_T064_021,SE_T064_022,SE_T064_023,SE_T064_024,SE_T064_025,SE_T064_026,SE_T064_027,SE_T064_028,SE_T064_029,SE_T064_030,SE_T064_031,SE_T064_032,SE_T064_033,SE_T064_034
"SLC1","Census Tract SLC1, St Louis County, Missouri","140","29189SLC00100","29","189",3426,19.842945098877,3426,172.655822153834,19.842945098877,3426,1811,1615,3426,3132,292,2,3426,312,299,384,342,230,254,272,278,201,223,176,126,97,97,57,78,1038,43,7,141,148,183,213,25,56,222,0,2524,1229,1171,1038,133,58,1295,1171,1038,133,1859,21,1357,129,273,955,307,176,131,174,44,130,0,1859,21,1357,481,305,174,130,0,875,875,838,37,34,3,838,492,346,157,6,0,2,1,0,1,0,0,1,5,2,61,2,1,35,9,5,1,0,0,1,1,14,0,0,0,3,3,0,3,0,0,0
"SLC2","Census Tract SLC2, St Louis County, Missouri","140","29189SLC00200","29","189",2841,19.637622833252,2841,144.671278398799,19.637622833252,2841,1494,1347,2841,2833,8,0,2841,169,187,273,287,247,239,224,248,182,178,173,165,104,74,48,43,964,37,8,283,132,127,138,26,69,142,2,2279,1012,1006,964,42,6,1267,1006,964,42,1678,11,1359,273,267,819,248,161,87,58,23,35,2,1678,11,1359,306,145,58,35,2,665,665,651,14,12,2,651,414,237,148,5,0,1,4,0,2,0,1,0,1,6,69,2,3,13,6,7,1,0,0,1,0,24,0,0,0,0,1,0,1,0,0,0
"SLC3","Census Tract SLC3, St Louis County, Missouri","140","29189SLC00300","29","189",1119,25.1073036193848,1119,44.5687046671171,25.1073036193848,1119,619,500,1119,1114,5,0,1119,67,111,124,113,104,55,71,72,90,85,66,48,31,41,20,21,442,4,3,170,9,44,43,21,11,134,3,844,450,450,442,8,0,394,450,442,8,600,0,554,84,149,321,31,18,13,15,7,8,0,600,0,554,46,28,15,8,0,284,284,268,16,10,6,268,157,111,45,0,0,0,1,0,1,0,0,0,1,0,27,1,0,2,0,0,1,0,0,0,1,9,1,0,0,0,0,0,0,0,0,0
"SLC4","Census Tract SLC4, St Louis County, Missouri","140","29189SLC00400","29","189",2126,9.85590934753418,2126,215.708152848615,9.85590934753418,2126,1076,1050,2126,2062,64,0,2126,200,241,239,174,137,148,181,172,131,112,90,98,63,61,40,39,648,12,6,140,70,101,168,24,27,98,2,1490,758,713,648,65,45,732,713,648,65,1135,14,904,92,180,632,177,108,69,37,19,18,3,1135,14,904,214,106,37,18,3,569,569,546,23,13,10,546,404,142,70,6,0,0,5,0,1,0,2,0,2,0,26,0,4,3,4,5,0,0,1,1,0,8,0,0,0,1,1,0,0,0,0,0
"SLC5","Census Tract SLC5, St Louis County, Missouri","140","29189SLC00500","29","189",1369,1.49097871780396,1369,918.188827011819,1.49097871780396,1369,672,697,1369,1363,6,0,1369,131,124,150,132,98,86,107,82,84,87,65,55,42,34,46,46,438,24,2,67,68,58,104,37,21,54,3,996,505,481,438,43,24,491,481,438,43,734,7,585,44,114,427,105,61,44,35,12,23,2,734,7,585,140,79,35,23,2,365,365,356,9,5,4,356,214,142,37,0,0,1,2,0,0,1,0,0,1,0,18,1,0,1,1,1,0,0,0,1,1,5,0,0,0,1,2,0,0,0,0,0
"SLC6","Census Tract SLC6, St Louis County, Missouri","140","29189SLC00600","29","189",2008,27.3552532196045,2008,73.4045480727242,27.3552532196045,2008,1145,863,2008,1565,443,0,2008,144,172,210,242,246,129,129,99,108,128,108,106,56,54,42,35,638,32,4,187,32,66,62,35,47,170,3,1521,752,683,638,45,69,769,683,638,45,994,24,783,128,217,438,120,70,50,63,21,42,4,994,24,783,183,113,63,42,4,476,476,447,29,19,10,447,290,157,65,1,0,0,8,0,0,0,1,1,1,2,25,0,0,3,0,0,0,0,0,1,0,14,2,0,4,0,0,0,1,0,1,0
"SLC7","Census Tract SLC7, St Louis County, Missouri","140","29189SLC00700","29","189",4643,23.4079971313477,4643,198.351015422082,23.4079971313477,4643,2406,2237,4643,4611,25,7,4643,377,512,532,420,295,359,403,396,324,261,202,165,151,100,73,73,1461,59,17,258,172,265,348,41,76,215,10,3322,1754,1649,1461,188,105,1568,1649,1461,188,2507,41,1798,217,350,1231,511,284,227,140,74,66,17,2507,41,1798,651,367,140,66,17,1218,1218,1150,68,46,22,1150,717,433,128,2,5,0,2,0,4,2,2,0,3,0,38,3,1,19,9,5,16,3,0,2,2,8,0,0,0,0,1,0,0,0,1,0
"SLC8","Census Tract SLC8, St Louis County, Missouri","140","29189SLC00800","29","189",169,0.116084851324558,169,1455.83164445374,0.116084851324558,169,81,88,169,95,74,0,169,12,13,14,17,14,11,16,9,15,14,8,8,6,5,2,5,49,1,1,7,7,10,10,3,7,3,0,131,75,58,49,9,17,56,58,49,9,99,3,73,6,21,46,14,5,9,9,3,6,0,99,3,73,23,18,9,6,0,49,49,49,0,0,0,49,23,26,4,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SLC9","Census Tract SLC9, St Louis County, Missouri","140","29189SLC00900","29","189",4762,2.25268840789795,4762,2113.91863308941,2.25268840789795,4762,2310,2452,4762,1154,3607,1,4762,493,508,453,434,318,346,314,370,343,308,239,192,134,135,96,79,1127,36,5,82,79,133,199,209,160,220,4,3397,1778,1454,1127,327,324,1619,1454,1127,327,2556,113,1925,557,537,831,403,287,116,109,67,42,6,2556,113,1925,512,225,109,42,6,1371,1371,1335,36,34,2,1335,889,446,26,0,0,0,3,1,1,1,1,0,2,0,10,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0
"SLC10","Census Tract SLC10, St Louis County, Missouri","140","29189SLC01000","29","189",2326,1.8133772611618,2326,1282.68951520312,1.8133772611618,2326,1164,1162,2326,2305,21,0,2326,179,184,201,177,179,206,238,205,165,155,119,84,65,69,48,52,857,91,22,117,224,146,150,30,32,38,7,1794,890,878,857,21,12,904,878,857,21,1406,8,687,69,87,531,460,204,256,244,117,127,7,1406,8,687,704,500,244,127,7,641,641,627,14,14,0,627,453,174,87,9,1,1,8,0,0,0,0,0,0,1,42,2,2,4,4,1,1,0,0,0,1,2,0,0,0,1,3,0,1,1,1,1
"SLC11","Census Tract SLC11, St Louis County, Missouri","140","29189SLC01100","29","189",3398,1.48998379707336,3398,2280.56171260008,1.48998379707336,3398,1669,1729,3398,3381,17,0,3398,273,293,288,280,247,285,342,338,259,215,181,117,104,77,42,57,1252,144,34,170,318,235,206,59,48,34,4,2589,1368,1344,1252,92,24,1221,1344,1252,92,2017,3,933,44,121,768,699,313,386,380,165,215,2,2017,3,933,1079,766,380,215,2,959,959,913,46,42,4,913,613,300,132,17,2,2,5,0,0,1,0,1,1,1,63,4,0,7,3,0,4,0,0,0,0,3,0,0,0,0,14,0,1,0,0,3
"SLC12","Census Tract SLC12, St Louis County, Missouri","140","29189SLC01200","29","189",719,2.42693734169006,719,296.258163591197,2.42693734169006,719,364,355,719,719,0,0,719,57,57,62,76,55,59,88,53,61,53,34,23,14,11,6,10,263,15,1,33,54,51,61,10,5,30,3,550,286,278,263,15,8,264,278,263,15,412,2,265,20,34,211,106,52,54,37,21,16,2,412,2,265,143,91,37,16,2,198,198,192,6,6,0,192,126,66,23,0,2,1,0,0,0,0,0,0,0,1,6,0,0,3,1,0,0,0,0,0,5,1,0,0,0,2,1,0,0,0,0,0
"SLC13","Census Tract SLC13, St Louis County, Missouri","140","29189SLC01300","29","189",4409,3.19921278953552,4409,1378.15152978309,3.19921278953552,4409,2228,2181,4409,4405,4,0,4409,344,359,407,386,297,368,402,372,319,291,254,165,150,117,83,95,1579,73,19,156,384,308,418,43,64,112,2,3375,1771,1707,1579,128,64,1604,1707,1579,128,2616,30,1762,199,367,1196,620,367,253,140,68,72,64,2616,30,1762,760,393,140,72,64,1198,1198,1136,62,50,12,1136,795,341,214,10,2,2,3,1,1,1,2,0,5,3,94,1,2,15,8,4,5,0,0,1,0,39,3,3,2,0,7,0,0,0,0,0
"SLC14","Census Tract SLC14, St Louis County, Missouri","140","29189SLC01400","29","189",6062,1.44102191925049,6062,4206.73684349853,1.44102191925049,6062,3037,3025,6062,6061,1,0,6062,555,559,615,586,446,544,639,521,463,333,275,185,127,106,58,50,2085,49,17,123,436,511,677,25,124,121,2,4444,2409,2294,2085,209,115,2035,2294,2085,209,3301,18,2342,191,360,1791,782,462,320,152,93,59,7,3301,18,2342,934,472,152,59,7,1689,1689,1616,73,69,4,1616,1040,576,296,13,4,2,11,0,5,1,2,2,2,8,90,14,7,29,16,8,8,0,0,1,0,63,1,0,3,0,5,0,0,1,0,0
